code,name,type,state
2401,凌陽,,上市
2402,毅嘉,,上市
2404,漢唐,,上市
2405,浩鑫,,上市
2406,國碩,,上市
2408,南亞科,,上市
2409,友達,,上市
2412,中華電,,上市
2413,環科,,上市
2414,精技,,上市
2415,錩新,,上市
2417,圓剛,,上市
2419,仲琦,,上市
2420,新巨,,上市
2421,建準,,上市
2423,固緯,,上市
2424,隴華,,上市
2425,承啟,,上市
2426,鼎元,,上市
2427,三商電,,上市
2428,興勤,,上市
2429,銘旺科,,上市
2430,燦坤,,上市
2431,聯昌,,上市
2433,互盛電,,上市
2434,統懋,,上市
2436,偉詮電,,上市
2438,翔耀,,上市
2439,美律,,上市
2440,太空梭,,上市
2441,超豐,,上市
2442,新美齊,,上市
2443,億麗,,上市
2444,兆勁,,上市
2448,晶電,,上市
2449,京元電子,,上市
2450,神腦,,上市
2451,創見,,上市
2453,凌群,,上市
2454,聯發科,,上市
2455,全新,,上市
2456,奇力新,,上市
2457,飛宏,,上市
2458,義隆,,上市
2459,敦吉,,上市
2460,建通,,上市
2461,光群雷,,上市
2462,良得電,,上市
2464,盟立,,上市
2465,麗臺,,上市
2466,冠西電,,上市
2467,志聖,,上市
2468,華經,,上市
2471,資通,,上市
2472,立隆電,,上市
2474,可成,,上市
2476,鉅祥,,上市
2477,美隆電,,上市
2478,大毅,,上市
2480,敦陽科,,上市
2481,強茂,,上市
2482,連宇,,上市
2483,百容,,上市
2484,希華,,上市
2485,兆赫,,上市
2486,一詮,,上市
2488,漢平,,上市
2489,瑞軒,,上市
2491,吉祥全,,上市
2492,華新科,,上市
2493,揚博,,上市
2495,普安,,上市
2496,卓越,,上市
2497,怡利電,,上市
2498,宏達電,,上市
2499,東貝,,上市
2501,國建,,上市
2504,國產,,上市
2505,國揚,,上市
2506,太設,,上市
2509,全坤建,,上市
2511,太子,,上市
2514,龍邦,,上市
2515,中工,,上市
2516,新建,,上市
2520,冠德,,上市
2524,京城,,上市
2527,宏璟,,上市
2528,皇普,,上市
2530,華建,,上市
2534,宏盛,,上市
2535,達欣工,,上櫃
2536,宏普,,上市
2537,聯上發,,上市
2538,基泰,,上市
2539,櫻花建,,上市
2540,愛山林,,上市
2542,興富發,,上市
2543,皇昌,,上市
2545,皇翔,,上市
2546,根基,,上市
2547,日勝生,,上市
2548,華固,,上市
2596,綠意,,上市
2597,潤弘,,上市
2599,樂揚,,上市
2601,益航,,上市
2603,長榮,,上市
2605,新興,,上市
2606,裕民,,上市
2607,榮運,,上市
2608,嘉里大榮,,上櫃
2609,陽明,,上市
2610,華航,,上櫃
2611,志信,,上市
2612,中航,,上市
2613,中櫃,,上市
2614,東森,,上市
2615,萬海,,上市
2616,山隆,,上市
2617,台航,,上市
2618,長榮航,,上櫃
2630,亞航,,上櫃
2633,台灣高鐵,,上市
2634,漢翔,,上市
2636,台驊,,上櫃
2637,慧洋-KY,,上市
2640,大車隊,,上櫃
2641,正德,,上市
2642,宅配通,,上櫃
2643,捷迅,,上市
2701,萬企,,上市
2702,華園,,上市
2704,國賓,,上市
2705,六福,,上市
2706,第一店,,上市
2707,晶華,,上市
2712,遠雄來,,上市
2718,晶悅,,上市
2719,燦星旅,,上市
2721,楷捷-KY,,上市
2722,夏都,,上市
2723,美食-KY,,上市
2724,富驛-KY,,上市
2726,雅茗-KY,,上市
2727,王品,,上市
2729,瓦城,,上市
2730,美麗信,,上市
2731,雄獅,,上市
2732,六角,,上市
2733,維格,,上市
2734,易飛網,,上市
2736,高野,,上市
2739,寒舍,,上市
2740,天蔥,,上市
2741,老四川,,上市
2743,山富,,上市
2745,五福,,上市
2748,雲品,,上市
2750,桃禧,,上市
2752,豆府,,上市
2754,亞洲藏壽司,,上市
2755,揚秦,,上市
2801,彰銀,,上市
2809,京城銀,,上市
2812,台中銀,,上市
2816,旺旺保,,上市
2820,華票,,上市
2823,中壽,,上市
2832,台產,,上市
2834,臺企銀,,上市
2836,高雄銀,,上市
2838,聯邦銀,,上市
2841,台開,,上市
2845,遠東銀,,上市
2849,安泰銀,,上市
2850,新產,,上櫃
2851,中再保,,上市
2852,第一保,,上櫃
2855,統一證,,上櫃
2867,三商壽,,上市
2880,華南金,,上市
2881,富邦金,,上市
2882,國泰金,,上市
2883,開發金,,上市
